"","kods","teritorija","Year","FDI","Subject","Measure"
"1","AF","Afganistāna","2000",NA,"OUTWARD","MLN_EUR"
"2","AF","Afganistāna","2001",NA,"OUTWARD","MLN_EUR"
"3","AF","Afganistāna","2002",NA,"OUTWARD","MLN_EUR"
"4","AF","Afganistāna","2003",NA,"OUTWARD","MLN_EUR"
"5","AF","Afganistāna","2004",0,"OUTWARD","MLN_EUR"
"6","AF","Afganistāna","2005",NA,"OUTWARD","MLN_EUR"
"7","AF","Afganistāna","2006",NA,"OUTWARD","MLN_EUR"
"8","AF","Afganistāna","2007",NA,"OUTWARD","MLN_EUR"
"9","AF","Afganistāna","2008",NA,"OUTWARD","MLN_EUR"
"10","AF","Afganistāna","2009",NA,"OUTWARD","MLN_EUR"
"11","AF","Afganistāna","2010",NA,"OUTWARD","MLN_EUR"
"12","AF","Afganistāna","2011",NA,"OUTWARD","MLN_EUR"
"13","AF","Afganistāna","2012",NA,"OUTWARD","MLN_EUR"
"14","AF","Afganistāna","2013",NA,"OUTWARD","MLN_EUR"
"15","AF","Afganistāna","2014",NA,"OUTWARD","MLN_EUR"
"16","AF","Afganistāna","2015",NA,"OUTWARD","MLN_EUR"
"17","AF","Afganistāna","2016",NA,"OUTWARD","MLN_EUR"
"18","AF","Afganistāna","2017",NA,"OUTWARD","MLN_EUR"
"19","AF","Afganistāna","2018",NA,"OUTWARD","MLN_EUR"
"20","AF","Afganistāna","2019",NA,"OUTWARD","MLN_EUR"
"21","AF","Afganistāna","2020",NA,"OUTWARD","MLN_EUR"
"22","AL","Albānija","2000",NA,"OUTWARD","MLN_EUR"
"23","AL","Albānija","2001",NA,"OUTWARD","MLN_EUR"
"24","AL","Albānija","2002",NA,"OUTWARD","MLN_EUR"
"25","AL","Albānija","2003",NA,"OUTWARD","MLN_EUR"
"26","AL","Albānija","2004",NA,"OUTWARD","MLN_EUR"
"27","AL","Albānija","2005",NA,"OUTWARD","MLN_EUR"
"28","AL","Albānija","2006",NA,"OUTWARD","MLN_EUR"
"29","AL","Albānija","2007",NA,"OUTWARD","MLN_EUR"
"30","AL","Albānija","2008",NA,"OUTWARD","MLN_EUR"
"31","AL","Albānija","2009",NA,"OUTWARD","MLN_EUR"
"32","AL","Albānija","2010",NA,"OUTWARD","MLN_EUR"
"33","AL","Albānija","2011",1,"OUTWARD","MLN_EUR"
"34","AL","Albānija","2012",1,"OUTWARD","MLN_EUR"
"35","AL","Albānija","2013",NA,"OUTWARD","MLN_EUR"
"36","AL","Albānija","2014",NA,"OUTWARD","MLN_EUR"
"37","AL","Albānija","2015",NA,"OUTWARD","MLN_EUR"
"38","AL","Albānija","2016",NA,"OUTWARD","MLN_EUR"
"39","AL","Albānija","2017",NA,"OUTWARD","MLN_EUR"
"40","AL","Albānija","2018",NA,"OUTWARD","MLN_EUR"
"41","AL","Albānija","2019",2,"OUTWARD","MLN_EUR"
"42","AL","Albānija","2020",0,"OUTWARD","MLN_EUR"
"43","US","Amerikas Savienotās Valstis","2000",0,"OUTWARD","MLN_EUR"
"44","US","Amerikas Savienotās Valstis","2001",1,"OUTWARD","MLN_EUR"
"45","US","Amerikas Savienotās Valstis","2002",2,"OUTWARD","MLN_EUR"
"46","US","Amerikas Savienotās Valstis","2003",4,"OUTWARD","MLN_EUR"
"47","US","Amerikas Savienotās Valstis","2004",8,"OUTWARD","MLN_EUR"
"48","US","Amerikas Savienotās Valstis","2005",3,"OUTWARD","MLN_EUR"
"49","US","Amerikas Savienotās Valstis","2006",4,"OUTWARD","MLN_EUR"
"50","US","Amerikas Savienotās Valstis","2007",1,"OUTWARD","MLN_EUR"
"51","US","Amerikas Savienotās Valstis","2008",1,"OUTWARD","MLN_EUR"
"52","US","Amerikas Savienotās Valstis","2009",0,"OUTWARD","MLN_EUR"
"53","US","Amerikas Savienotās Valstis","2010",1,"OUTWARD","MLN_EUR"
"54","US","Amerikas Savienotās Valstis","2011",0,"OUTWARD","MLN_EUR"
"55","US","Amerikas Savienotās Valstis","2012",0,"OUTWARD","MLN_EUR"
"56","US","Amerikas Savienotās Valstis","2013",1,"OUTWARD","MLN_EUR"
"57","US","Amerikas Savienotās Valstis","2014",3,"OUTWARD","MLN_EUR"
"58","US","Amerikas Savienotās Valstis","2015",14,"OUTWARD","MLN_EUR"
"59","US","Amerikas Savienotās Valstis","2016",35,"OUTWARD","MLN_EUR"
"60","US","Amerikas Savienotās Valstis","2017",71,"OUTWARD","MLN_EUR"
"61","US","Amerikas Savienotās Valstis","2018",70,"OUTWARD","MLN_EUR"
"62","US","Amerikas Savienotās Valstis","2019",69,"OUTWARD","MLN_EUR"
"63","US","Amerikas Savienotās Valstis","2020",78,"OUTWARD","MLN_EUR"
"64","AG","Antigva un Barbuda","2000",NA,"OUTWARD","MLN_EUR"
"65","AG","Antigva un Barbuda","2001",NA,"OUTWARD","MLN_EUR"
