"","kods","teritorija","Year","FDI","Subject","Measure"
"1","AF","Afganistāna","2000",NA,"INWARD","MLN_EUR"
"2","AF","Afganistāna","2001",NA,"INWARD","MLN_EUR"
"3","AF","Afganistāna","2002",NA,"INWARD","MLN_EUR"
"4","AF","Afganistāna","2003",NA,"INWARD","MLN_EUR"
"5","AF","Afganistāna","2004",NA,"INWARD","MLN_EUR"
"6","AF","Afganistāna","2005",NA,"INWARD","MLN_EUR"
"7","AF","Afganistāna","2006",NA,"INWARD","MLN_EUR"
"8","AF","Afganistāna","2007",NA,"INWARD","MLN_EUR"
"9","AF","Afganistāna","2008",NA,"INWARD","MLN_EUR"
"10","AF","Afganistāna","2009",NA,"INWARD","MLN_EUR"
"11","AF","Afganistāna","2010",NA,"INWARD","MLN_EUR"
"12","AF","Afganistāna","2011",NA,"INWARD","MLN_EUR"
"13","AF","Afganistāna","2012",NA,"INWARD","MLN_EUR"
"14","AF","Afganistāna","2013",NA,"INWARD","MLN_EUR"
"15","AF","Afganistāna","2014",NA,"INWARD","MLN_EUR"
"16","AF","Afganistāna","2015",0,"INWARD","MLN_EUR"
"17","AF","Afganistāna","2016",0,"INWARD","MLN_EUR"
"18","AF","Afganistāna","2017",NA,"INWARD","MLN_EUR"
"19","AF","Afganistāna","2018",NA,"INWARD","MLN_EUR"
"20","AF","Afganistāna","2019",NA,"INWARD","MLN_EUR"
"21","AF","Afganistāna","2020",NA,"INWARD","MLN_EUR"
"22","AL","Albānija","2000",NA,"INWARD","MLN_EUR"
"23","AL","Albānija","2001",NA,"INWARD","MLN_EUR"
"24","AL","Albānija","2002",NA,"INWARD","MLN_EUR"
"25","AL","Albānija","2003",NA,"INWARD","MLN_EUR"
"26","AL","Albānija","2004",NA,"INWARD","MLN_EUR"
"27","AL","Albānija","2005",NA,"INWARD","MLN_EUR"
"28","AL","Albānija","2006",NA,"INWARD","MLN_EUR"
"29","AL","Albānija","2007",NA,"INWARD","MLN_EUR"
"30","AL","Albānija","2008",NA,"INWARD","MLN_EUR"
"31","AL","Albānija","2009",NA,"INWARD","MLN_EUR"
"32","AL","Albānija","2010",NA,"INWARD","MLN_EUR"
"33","AL","Albānija","2011",NA,"INWARD","MLN_EUR"
"34","AL","Albānija","2012",NA,"INWARD","MLN_EUR"
"35","AL","Albānija","2013",NA,"INWARD","MLN_EUR"
"36","AL","Albānija","2014",NA,"INWARD","MLN_EUR"
"37","AL","Albānija","2015",NA,"INWARD","MLN_EUR"
"38","AL","Albānija","2016",0,"INWARD","MLN_EUR"
"39","AL","Albānija","2017",0,"INWARD","MLN_EUR"
"40","AL","Albānija","2018",0,"INWARD","MLN_EUR"
"41","AL","Albānija","2019",0,"INWARD","MLN_EUR"
"42","AL","Albānija","2020",0,"INWARD","MLN_EUR"
"43","DZ","Alžīrija","2000",NA,"INWARD","MLN_EUR"
"44","DZ","Alžīrija","2001",NA,"INWARD","MLN_EUR"
"45","DZ","Alžīrija","2002",NA,"INWARD","MLN_EUR"
"46","DZ","Alžīrija","2003",NA,"INWARD","MLN_EUR"
"47","DZ","Alžīrija","2004",NA,"INWARD","MLN_EUR"
"48","DZ","Alžīrija","2005",NA,"INWARD","MLN_EUR"
"49","DZ","Alžīrija","2006",NA,"INWARD","MLN_EUR"
"50","DZ","Alžīrija","2007",NA,"INWARD","MLN_EUR"
"51","DZ","Alžīrija","2008",NA,"INWARD","MLN_EUR"
"52","DZ","Alžīrija","2009",NA,"INWARD","MLN_EUR"
"53","DZ","Alžīrija","2010",NA,"INWARD","MLN_EUR"
"54","DZ","Alžīrija","2011",NA,"INWARD","MLN_EUR"
"55","DZ","Alžīrija","2012",NA,"INWARD","MLN_EUR"
"56","DZ","Alžīrija","2013",NA,"INWARD","MLN_EUR"
"57","DZ","Alžīrija","2014",NA,"INWARD","MLN_EUR"
"58","DZ","Alžīrija","2015",NA,"INWARD","MLN_EUR"
"59","DZ","Alžīrija","2016",NA,"INWARD","MLN_EUR"
"60","DZ","Alžīrija","2017",0,"INWARD","MLN_EUR"
"61","DZ","Alžīrija","2018",0,"INWARD","MLN_EUR"
"62","DZ","Alžīrija","2019",0,"INWARD","MLN_EUR"
"63","DZ","Alžīrija","2020",0,"INWARD","MLN_EUR"
"64","VI","Amerikāņu Virdžīnas","2000",1,"INWARD","MLN_EUR"
"65","VI","Amerikāņu Virdžīnas","2001",1,"INWARD","MLN_EUR"
"66","VI","Amerikāņu Virdžīnas","2002",1,"INWARD","MLN_EUR"
"67","VI","Amerikāņu Virdžīnas","2003",1,"INWARD","MLN_EUR"
"68","VI","Amerikāņu Virdžīnas","2004",NA,"INWARD","MLN_EUR"
"69","VI","Amerikāņu Virdžīnas","2005",NA,"INWARD","MLN_EUR"
"70","VI","Amerikāņu Virdžīnas","2006",NA,"INWARD","MLN_EUR"
"71","VI","Amerikāņu Virdžīnas","2007",NA,"INWARD","MLN_EUR"
"72","VI","Amerikāņu Virdžīnas","2008",NA,"INWARD","MLN_EUR"
"73","VI","Amerikāņu Virdžīnas","2009",NA,"INWARD","MLN_EUR"
"74","VI","Amerikāņu Virdžīnas","2010",NA,"INWARD","MLN_EUR"
"75","VI","Amerikāņu Virdžīnas","2011",NA,"INWARD","MLN_EUR"
"76","VI","Amerikāņu Virdžīnas","2012",NA,"INWARD","MLN_EUR"
"77","VI","Amerikāņu Virdžīnas","2013",NA,"INWARD","MLN_EUR"
"78","VI","Amerikāņu Virdžīnas","2014",NA,"INWARD","MLN_EUR"
"79","VI","Amerikāņu Virdžīnas","2015",NA,"INWARD","MLN_EUR"
"80","VI","Amerikāņu Virdžīnas","2016",NA,"INWARD","MLN_EUR"
"81","VI","Amerikāņu Virdžīnas","2017",NA,"INWARD","MLN_EUR"
"82","VI","Amerikāņu Virdžīnas","2018",NA,"INWARD","MLN_EUR"
"83","VI","Amerikāņu Virdžīnas","2019",NA,"INWARD","MLN_EUR"
"84","VI","Amerikāņu Virdžīnas","2020",NA,"INWARD","MLN_EUR"
"85","US","Amerikas Savienotās Valstis","2000",151,"INWARD","MLN_EUR"
"86","US","Amerikas Savienotās Valstis","2001",241,"INWARD","MLN_EUR"
"87","US","Amerikas Savienotās Valstis","2002",165,"INWARD","MLN_EUR"
"88","US","Amerikas Savienotās Valstis","2003",174,"INWARD","MLN_EUR"
"89","US","Amerikas Savienotās Valstis","2004",250,"INWARD","MLN_EUR"
"90","US","Amerikas Savienotās Valstis","2005",275,"INWARD","MLN_EUR"
"91","US","Amerikas Savienotās Valstis","2006",334,"INWARD","MLN_EUR"
"92","US","Amerikas Savienotās Valstis","2007",332,"INWARD","MLN_EUR"
"93","US","Amerikas Savienotās Valstis","2008",317,"INWARD","MLN_EUR"
"94","US","Amerikas Savienotās Valstis","2009",305,"INWARD","MLN_EUR"
"95","US","Amerikas Savienotās Valstis","2010",261,"INWARD","MLN_EUR"
"96","US","Amerikas Savienotās Valstis","2011",275,"INWARD","MLN_EUR"
"97","US","Amerikas Savienotās Valstis","2012",254,"INWARD","MLN_EUR"
"98","US","Amerikas Savienotās Valstis","2013",158,"INWARD","MLN_EUR"
"99","US","Amerikas Savienotās Valstis","2014",150,"INWARD","MLN_EUR"
"100","US","Amerikas Savienotās Valstis","2015",153,"INWARD","MLN_EUR"
"101","US","Amerikas Savienotās Valstis","2016",195,"INWARD","MLN_EUR"
"102","US","Amerikas Savienotās Valstis","2017",145,"INWARD","MLN_EUR"
"103","US","Amerikas Savienotās Valstis","2018",165,"INWARD","MLN_EUR"
"104","US","Amerikas Savienotās Valstis","2019",136,"INWARD","MLN_EUR"
"105","US","Amerikas Savienotās Valstis","2020",139,"INWARD","MLN_EUR"
"106","AD","Andora","2000",NA,"INWARD","MLN_EUR"
"107","AD","Andora","2001",NA,"INWARD","MLN_EUR"
"108","AD","Andora","2002",NA,"INWARD","MLN_EUR"
"109","AD","Andora","2003",NA,"INWARD","MLN_EUR"
"110","AD","Andora","2004",NA,"INWARD","MLN_EUR"
"111","AD","Andora","2005",NA,"INWARD","MLN_EUR"
"112","AD","Andora","2006",NA,"INWARD","MLN_EUR"
