"","kods","teritorija","Year","FDI","Subject","Measure"
"1","US","Amerikas Savienotās Valstis","1992",20.043,"INWARD","MLN_EUR"
"2","US","Amerikas Savienotās Valstis","1993",26.64,"INWARD","MLN_EUR"
"3","US","Amerikas Savienotās Valstis","1994",34.727,"INWARD","MLN_EUR"
"4","US","Amerikas Savienotās Valstis","1995",46.733,"INWARD","MLN_EUR"
"5","US","Amerikas Savienotās Valstis","1996",58.403,"INWARD","MLN_EUR"
"6","US","Amerikas Savienotās Valstis","1997",82.085,"INWARD","MLN_EUR"
"7","US","Amerikas Savienotās Valstis","1998",100.45,"INWARD","MLN_EUR"
"8","US","Amerikas Savienotās Valstis","1999",109.163,"INWARD","MLN_EUR"
"9","US","Amerikas Savienotās Valstis","2000",110.186,"INWARD","MLN_EUR"
"10","US","Amerikas Savienotās Valstis","2001",125.169,"INWARD","MLN_EUR"
"11","US","Amerikas Savienotās Valstis","2002",117.309,"INWARD","MLN_EUR"
"12","US","Amerikas Savienotās Valstis","2003",132.468,"INWARD","MLN_EUR"
"13","US","Amerikas Savienotās Valstis","2004",121.842,"INWARD","MLN_EUR"
"14","US","Amerikas Savienotās Valstis","2005",107.279,"INWARD","MLN_EUR"
"15","US","Amerikas Savienotās Valstis","2006",118.972,"INWARD","MLN_EUR"
"16","US","Amerikas Savienotās Valstis","2007",116.697,"INWARD","MLN_EUR"
"17","US","Amerikas Savienotās Valstis","2008",99.215,"INWARD","MLN_EUR"
"18","US","Amerikas Savienotās Valstis","2009",160.158,"INWARD","MLN_EUR"
"19","US","Amerikas Savienotās Valstis","2010",179.512,"INWARD","MLN_EUR"
"20","UK","Apvienotā Karaliste","1992",0.475,"INWARD","MLN_EUR"
"21","UK","Apvienotā Karaliste","1993",1.605,"INWARD","MLN_EUR"
"22","UK","Apvienotā Karaliste","1994",14.519,"INWARD","MLN_EUR"
"23","UK","Apvienotā Karaliste","1995",19.24,"INWARD","MLN_EUR"
"24","UK","Apvienotā Karaliste","1996",39.274,"INWARD","MLN_EUR"
"25","UK","Apvienotā Karaliste","1997",47.328,"INWARD","MLN_EUR"
"26","UK","Apvienotā Karaliste","1998",70.983,"INWARD","MLN_EUR"
"27","UK","Apvienotā Karaliste","1999",81.474,"INWARD","MLN_EUR"
"28","UK","Apvienotā Karaliste","2000",78.709,"INWARD","MLN_EUR"
"29","UK","Apvienotā Karaliste","2001",86.733,"INWARD","MLN_EUR"
"30","UK","Apvienotā Karaliste","2002",75.641,"INWARD","MLN_EUR"
"31","UK","Apvienotā Karaliste","2003",59.362,"INWARD","MLN_EUR"
"32","UK","Apvienotā Karaliste","2004",59.995,"INWARD","MLN_EUR"
"33","UK","Apvienotā Karaliste","2005",56.619,"INWARD","MLN_EUR"
"34","UK","Apvienotā Karaliste","2006",102.122,"INWARD","MLN_EUR"
"35","UK","Apvienotā Karaliste","2007",125.183,"INWARD","MLN_EUR"
"36","UK","Apvienotā Karaliste","2008",101.782,"INWARD","MLN_EUR"
"37","UK","Apvienotā Karaliste","2009",117.531,"INWARD","MLN_EUR"
"38","UK","Apvienotā Karaliste","2010",13.102,"INWARD","MLN_EUR"
"39","AU","Austrālija","1992",0,"INWARD","MLN_EUR"
"40","AU","Austrālija","1993",0.186,"INWARD","MLN_EUR"
"41","AU","Austrālija","1994",0.258,"INWARD","MLN_EUR"
"42","AU","Austrālija","1995",0.582,"INWARD","MLN_EUR"
"43","AU","Austrālija","1996",0.619,"INWARD","MLN_EUR"
"44","AU","Austrālija","1997",0.839,"INWARD","MLN_EUR"
"45","AU","Austrālija","1998",1.626,"INWARD","MLN_EUR"
"46","AU","Austrālija","1999",1.353,"INWARD","MLN_EUR"
"47","AU","Austrālija","2000",0.462,"INWARD","MLN_EUR"
"48","AU","Austrālija","2001",0.444,"INWARD","MLN_EUR"
"49","AU","Austrālija","2002",0.514,"INWARD","MLN_EUR"
"50","AU","Austrālija","2003",0.514,"INWARD","MLN_EUR"
"51","AU","Austrālija","2004",0.341,"INWARD","MLN_EUR"
"52","AU","Austrālija","2005",0.341,"INWARD","MLN_EUR"
"53","AU","Austrālija","2006",0,"INWARD","MLN_EUR"
"54","AU","Austrālija","2007",0.149,"INWARD","MLN_EUR"
"55","AU","Austrālija","2008",0,"INWARD","MLN_EUR"
"56","AU","Austrālija","2009",0,"INWARD","MLN_EUR"
"57","AU","Austrālija","2010",0,"INWARD","MLN_EUR"
"58","AT","Austrija","1992",0.095,"INWARD","MLN_EUR"
"59","AT","Austrija","1993",2.629,"INWARD","MLN_EUR"
"60","AT","Austrija","1994",6.544,"INWARD","MLN_EUR"
"61","AT","Austrija","1995",9.535,"INWARD","MLN_EUR"
"62","AT","Austrija","1996",12.443,"INWARD","MLN_EUR"
"63","AT","Austrija","1997",11.732,"INWARD","MLN_EUR"
"64","AT","Austrija","1998",11.457,"INWARD","MLN_EUR"
"65","AT","Austrija","1999",9.685,"INWARD","MLN_EUR"
"66","AT","Austrija","2000",6.781,"INWARD","MLN_EUR"
"67","AT","Austrija","2001",7.951,"INWARD","MLN_EUR"
"68","AT","Austrija","2002",8.724,"INWARD","MLN_EUR"
"69","AT","Austrija","2003",10.758,"INWARD","MLN_EUR"
"70","AT","Austrija","2004",10.64,"INWARD","MLN_EUR"
"71","AT","Austrija","2005",24.678,"INWARD","MLN_EUR"
"72","AT","Austrija","2006",10.203,"INWARD","MLN_EUR"
"73","AT","Austrija","2007",72.263,"INWARD","MLN_EUR"
"74","AT","Austrija","2008",73.645,"INWARD","MLN_EUR"
"75","AT","Austrija","2009",103.663,"INWARD","MLN_EUR"
"76","AT","Austrija","2010",153.605,"INWARD","MLN_EUR"
"77","BS","Bahamu salas","1992",0,"INWARD","MLN_EUR"
"78","BS","Bahamu salas","1993",0.033,"INWARD","MLN_EUR"
"79","BS","Bahamu salas","1994",0.027,"INWARD","MLN_EUR"
"80","BS","Bahamu salas","1995",1.04,"INWARD","MLN_EUR"
"81","BS","Bahamu salas","1996",1.299,"INWARD","MLN_EUR"
"82","BS","Bahamu salas","1997",0.023,"INWARD","MLN_EUR"
"83","BS","Bahamu salas","1998",1.461,"INWARD","MLN_EUR"
"84","BS","Bahamu salas","1999",6.591,"INWARD","MLN_EUR"
"85","BS","Bahamu salas","2000",7.777,"INWARD","MLN_EUR"
"86","BS","Bahamu salas","2001",8.049,"INWARD","MLN_EUR"
"87","BS","Bahamu salas","2002",8.049,"INWARD","MLN_EUR"
"88","BS","Bahamu salas","2003",8.288,"INWARD","MLN_EUR"
"89","BS","Bahamu salas","2004",7.58,"INWARD","MLN_EUR"
"90","BS","Bahamu salas","2005",3.278,"INWARD","MLN_EUR"
"91","BS","Bahamu salas","2006",3.147,"INWARD","MLN_EUR"
"92","BS","Bahamu salas","2007",0.371,"INWARD","MLN_EUR"
"93","BS","Bahamu salas","2008",0.194,"INWARD","MLN_EUR"
"94","BS","Bahamu salas","2009",0.194,"INWARD","MLN_EUR"
"95","BS","Bahamu salas","2010",13.93,"INWARD","MLN_EUR"
"96","BY","Baltkrievija","1992",0.041,"INWARD","MLN_EUR"
"97","BY","Baltkrievija","1993",0.198,"INWARD","MLN_EUR"
"98","BY","Baltkrievija","1994",1.544,"INWARD","MLN_EUR"
"99","BY","Baltkrievija","1995",2.352,"INWARD","MLN_EUR"
"100","BY","Baltkrievija","1996",2.866,"INWARD","MLN_EUR"
"101","BY","Baltkrievija","1997",2.658,"INWARD","MLN_EUR"
"102","BY","Baltkrievija","1998",2.453,"INWARD","MLN_EUR"
"103","BY","Baltkrievija","1999",2.507,"INWARD","MLN_EUR"
"104","BY","Baltkrievija","2000",2.501,"INWARD","MLN_EUR"
"105","BY","Baltkrievija","2001",2.336,"INWARD","MLN_EUR"
"106","BY","Baltkrievija","2002",2.638,"INWARD","MLN_EUR"
"107","BY","Baltkrievija","2003",1.874,"INWARD","MLN_EUR"
"108","BY","Baltkrievija","2004",0.36,"INWARD","MLN_EUR"
"109","BY","Baltkrievija","2005",0.849,"INWARD","MLN_EUR"
"110","BY","Baltkrievija","2006",0.837,"INWARD","MLN_EUR"
"111","BY","Baltkrievija","2007",1.248,"INWARD","MLN_EUR"
"112","BY","Baltkrievija","2008",2.291,"INWARD","MLN_EUR"
"113","BY","Baltkrievija","2009",4.879,"INWARD","MLN_EUR"
"114","BY","Baltkrievija","2010",3.571,"INWARD","MLN_EUR"
"115","BE","Beļģija","1992",0.081,"INWARD","MLN_EUR"
"116","BE","Beļģija","1993",0.1,"INWARD","MLN_EUR"
"117","BE","Beļģija","1994",0.11,"INWARD","MLN_EUR"
"118","BE","Beļģija","1995",1.308,"INWARD","MLN_EUR"
"119","BE","Beļģija","1996",0.898,"INWARD","MLN_EUR"
"120","BE","Beļģija","1997",1.052,"INWARD","MLN_EUR"
"121","BE","Beļģija","1998",0.962,"INWARD","MLN_EUR"
"122","BE","Beļģija","1999",0.39,"INWARD","MLN_EUR"
"123","BE","Beļģija","2000",0.341,"INWARD","MLN_EUR"
"124","BE","Beļģija","2001",3.867,"INWARD","MLN_EUR"
"125","BE","Beļģija","2002",3.722,"INWARD","MLN_EUR"
"126","BE","Beļģija","2003",5.047,"INWARD","MLN_EUR"
