"Preču plūsma,""Valstis"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
"Eksports,""TOTAL PAVISAM"",4109584041,4685812188,5748817375,6301820317,5125529213,6680217842,8535119006,9871053741,10021291183,10386306949,10504567382,10490023595,11647288907,12773392448,12965597145,13304660251,11737345662"
"Eksports,""AD Andora"",3567,21390,16972,18575,0,0,5070,34347,144837,189953,151967,5153,226965,41384,34792,37503,10270"
"Eksports,""AE Apvienotie Arābu Emirāti"",1726434,1914152,1651228,9793754,4531921,11634278,21802787,21696266,19887176,28161252,80782449,79083245,107739999,44625880,45101136,52341063,41752982"
"Eksports,""AF Afganistāna"",240813,325609,795008,58104,339220,10400932,131200997,136200755,14656424,3626265,2231125,2049828,1822159,1935567,2016150,1380968,407638"
"Eksports,""AG Antigva un Barbuda"",1704633,932723,613389,718413,446129,439449,713050,546516,925529,657792,670893,281641,113973,134661,56820,87573,69627"
"Eksports,""AI Angilja"",0,0,0,0,0,1449,0,0,6515,167,29,0,58435,39030,1811,0,9706"
"Eksports,""AL Albānija"",87191,28272,50131,101838,515128,311951,475559,305512,486973,798850,1206372,1182183,1548221,1569147,1856995,2106860,1289509"
"Eksports,""AM Armēnija"",1518693,1500939,1742884,2631192,1382646,2160463,2175083,2202846,2244560,3080786,5169301,3739554,4947227,6765856,6991144,6670891,5471391"
"Eksports,""AN Nīderlandes Antiļas"",375570,179046,253328,92909,45481,53750,162043,92544,0,0,0,0,0,0,0,0,0"
"Eksports,""AO Angola"",0,0,0,576,41365,3698,1393037,2888768,5596577,6440758,11400432,8409083,9358761,2879848,3414275,9122576,350484"
"Eksports,""AR Argentīna"",169273,556325,1344183,1557561,1103908,1214743,1856701,1607827,2498094,1652412,3869285,2840252,6896611,5211491,4876375,5280901,5852889"
"Eksports,""AS ASV Samoa"",0,0,0,0,0,0,0,31787,0,94157,3599,685,0,0,0,0,0"
"Eksports,""AT Austrija"",17098732,20397766,32249074,27138170,37036439,22277183,29449678,26943102,37240725,40988427,53984339,42485707,50375593,84393111,73327701,69887096,62215830"
"Eksports,""AU Austrālija"",2169744,1748202,1699469,2345163,2110929,2621857,3991712,5515076,7716006,9207602,13445191,10894917,14587433,24945957,18037089,23031414,26656507"
"Eksports,""AW Aruba"",0,10140,27965,56432,2409,0,0,948,0,29342,0,0,1214,60104,4738,145,0"
"Eksports,""AZ Azerbaidžāna"",3336766,6017037,5910077,10804673,11302541,13799371,18139614,16946262,23375866,25211926,21785762,12714321,15707446,19975522,17002335,17950544,13661390"
"Eksports,""BA Bosnija un Hercegovina"",229895,41727,513849,730723,395356,694475,550194,888147,967165,3662217,3732649,3377322,2962238,3020465,3195446,3722674,3244058"
"Eksports,""BB Barbadosa"",173584,176936,170546,225366,51089,43680,108447,36558,63309,58393,62532,41094,33033,28274,80988,28747,32633"
"Eksports,""BD Bangladeša"",492361,44243,190756,314650,1096020,2445656,1553688,131263,1404804,692759,758563,1495194,2997613,6697362,3691123,3175318,505036"
"Eksports,""BE Beļģija"",29063119,65998615,59468973,62581415,61227919,82265514,91609477,126120500,122443675,124577132,118804423,122820564,170513693,150309073,152028643,164033273,157788732"
