"","X","pays1","pays2","dist"
"1",1,"Afghanistan","Albania",3538.82691643274
"2",2,"Afghanistan","Algeria",4660.36867803253
"3",3,"Afghanistan","American Samoa",13105.4365685736
"4",4,"Afghanistan","Andorra",5100.43880327883
"5",5,"Afghanistan","Angola",5860.6711858521
"6",6,"Afghanistan","Anguilla",11647.1742728277
"7",7,"Afghanistan","Antarctica",10587.7707177297
"8",8,"Afghanistan","Antigua",11643.4774179947
"9",9,"Afghanistan","Argentina",13663.7226765119
"10",10,"Afghanistan","Armenia",1357.55588267017
"11",11,"Afghanistan","Aruba",12619.4544764777
"12",12,"Afghanistan","Ascension Island",9038.71068618699
"13",13,"Afghanistan","Australia",7488.36319200355
"14",14,"Afghanistan","Austria",3853.42090436718
"15",15,"Afghanistan","Azerbaijan",1087.29591907067
"16",16,"Afghanistan","Azores",7423.01375566101
"17",17,"Afghanistan","Bahamas",11849.1299157114
"18",18,"Afghanistan","Bahrain",1084.68919677108
"19",19,"Afghanistan","Bangladesh",1735.70526644935
"20",20,"Afghanistan","Barbados",11774.8497642209
"21",21,"Afghanistan","Barbuda",11603.6969309294
"22",22,"Afghanistan","Belarus",2961.48941239949
"23",23,"Afghanistan","Belgium",4646.55569059298
"24",24,"Afghanistan","Belize",13216.8572755344
"25",25,"Afghanistan","Benin",6223.65822634071
"26",26,"Afghanistan","Bermuda",10609.1752034224
"27",27,"Afghanistan","Bhutan",1701.87437919632
"28",28,"Afghanistan","Bolivia",13649.8174581646
"29",29,"Afghanistan","Bonaire",12518.8886361571
"30",30,"Afghanistan","Bosnia and Herzegovina",3646.50259279126
"31",31,"Afghanistan","Botswana",6509.608395066
"32",32,"Afghanistan","Brazil",10878.984841456
"33",33,"Afghanistan","Brunei",5378.25730541461
"34",34,"Afghanistan","Bulgaria",2921.77048474538
"35",35,"Afghanistan","Burkina Faso",6313.25401930962
"36",36,"Afghanistan","Burundi",4808.75569503106
"37",37,"Afghanistan","Cambodia",3773.4803736833
"38",38,"Afghanistan","Cameroon",5106.8222621606
"39",39,"Afghanistan","Canada",6325.037324417
"40",40,"Afghanistan","Canary Islands",6876.40211860423
"41",41,"Afghanistan","Cape Verde",8385.69314349539
"42",42,"Afghanistan","Cayman Islands",12632.3371280332
"43",43,"Afghanistan","Central African Republic",4429.380231707
"44",44,"Afghanistan","Chad",3884.41608500142
"45",45,"Afghanistan","Chagos Archipelago",4145.11365766113
"46",46,"Afghanistan","Chile",14736.775237208
"47",47,"Afghanistan","China",0
"48",48,"Afghanistan","Christmas Island",6077.4534400207
"49",49,"Afghanistan","Cocos Islands",5684.59291279526
"50",50,"Afghanistan","Colombia",12731.3899766697
"51",51,"Afghanistan","Comoros",4932.80669993195
"52",52,"Afghanistan","Cook Islands",14497.0866443827
"53",53,"Afghanistan","Costa Rica",13678.2047422277
"54",54,"Afghanistan","Croatia",3663.5330368491
"55",55,"Afghanistan","Cuba",12244.6976977924
"56",56,"Afghanistan","Curacao",12569.5658070795
"57",57,"Afghanistan","Cyprus",2370.07165889808
"58",58,"Afghanistan","Czech Republic",3748.33994826395
"59",59,"Afghanistan","Democratic Republic of the Congo",4297.94613027617
"60",60,"Afghanistan","Denmark",4106.97551061564
"61",61,"Afghanistan","Djibouti",2636.1885134791
"62",62,"Afghanistan","Dominica",11734.2027908461
"63",63,"Afghanistan","Dominican Republic",11999.6635445894
"64",64,"Afghanistan","Ecuador",14048.8206891017
"65",65,"Afghanistan","Egypt",2465.52426183249
"66",66,"Afghanistan","El Salvador",13636.0119756973
"67",67,"Afghanistan","Equatorial Guinea",6052.98101410686
"68",68,"Afghanistan","Eritrea",2609.09127769805
"69",69,"Afghanistan","Estonia",3492.42292839093
"70",70,"Afghanistan","Ethiopia",2696.33988933461
"71",71,"Afghanistan","Falkland Islands",14493.4384517065
"72",72,"Afghanistan","Faroe Islands",5433.03865133044
"73",73,"Afghanistan","Fiji",11910.042522772
"74",74,"Afghanistan","Finland",3632.2813393739
"75",75,"Afghanistan","France",4470.14807682695
"76",76,"Afghanistan","French Guiana",11748.3111312031
"77",77,"Afghanistan","French Polynesia",14942.7645367003
"78",78,"Afghanistan","French Southern and Antarctic Lands",8456.53323111764
"79",79,"Afghanistan","Gabon",5848.22355511669
"80",80,"Afghanistan","Gambia",7751.8339099205
"81",81,"Afghanistan","Georgia",1416.34228580152
"82",82,"Afghanistan","Germany",4042.91396041964
"83",83,"Afghanistan","Ghana",6603.47992236016
"84",84,"Afghanistan","Greece",2932.71438130854
"85",85,"Afghanistan","Greenland",5672.83588165705
"86",86,"Afghanistan","Grenada",12016.8801108342
"87",87,"Afghanistan","Grenadines",11921.3350240912
"88",88,"Afghanistan","Guadeloupe",11670.690641201
"89",89,"Afghanistan","Guam",7334.44449909518
"90",90,"Afghanistan","Guatemala",13323.8741967066
"91",91,"Afghanistan","Guernsey",5289.18336437481
"92",92,"Afghanistan","Guinea",7369.52182347331
