"","pays1","pays2","dist"
"1","Latvia","Afghanistan",3379.04795238629
"2","Latvia","Albania",1495.87615617119
"3","Latvia","Algeria",2323.88390804101
"4","Latvia","American Samoa",14964.2450666566
"5","Latvia","Andorra",2039.75747395459
"6","Latvia","Angola",6747.92975949989
"7","Latvia","Anguilla",7966.28995289607
"8","Latvia","Antarctica",13663.5355885632
"9","Latvia","Antigua",7992.24782927886
"10","Latvia","Argentina",11457.0777462121
"11","Latvia","Armenia",2001.06744844253
"12","Latvia","Aruba",8910.31397534198
"13","Latvia","Ascension Island",7800.2242819626
"14","Latvia","Australia",11477.2892379176
"15","Latvia","Austria",864.935649128478
"16","Latvia","Azerbaijan",2048.58615091244
"17","Latvia","Azores",3957.58574357649
"18","Latvia","Bahamas",8043.33184846418
"19","Latvia","Bahrain",3767.95793577114
"20","Latvia","Bangladesh",5762.56221225391
"21","Latvia","Barbados",8206.55189471791
"22","Latvia","Barbuda",7944.65168621769
"23","Latvia","Belarus",0
"24","Latvia","Belgium",1144.58911921284
"25","Latvia","Belize",9423.45622345376
"26","Latvia","Benin",5095.91226475794
"27","Latvia","Bermuda",6813.79357058369
"28","Latvia","Bhutan",5700.13771204662
"29","Latvia","Bolivia",10676.0056741293
"30","Latvia","Bonaire",8835.35030780997
"31","Latvia","Bosnia and Herzegovina",1231.85415842296
"32","Latvia","Botswana",8140.0481793147
"33","Latvia","Brazil",8504.81921403209
"34","Latvia","Brunei",9329.02793571558
"35","Latvia","Bulgaria",1279.61850319253
"36","Latvia","Burkina Faso",4899.18247481952
"37","Latvia","Burundi",6436.75049866755
"38","Latvia","Cambodia",7764.0680136827
"39","Latvia","Cameroon",4805.98906765793
"40","Latvia","Canada",3599.19339162325
"41","Latvia","Canary Islands",4031.58263538476
"42","Latvia","Cape Verde",5704.8935265745
"43","Latvia","Cayman Islands",8826.11187770546
"44","Latvia","Central African Republic",4968.42443497563
"45","Latvia","Chad",3646.22833861861
"46","Latvia","Chagos Archipelago",8108.49276991741
"47","Latvia","Chile",11638.1622545944
"48","Latvia","China",3761.02034193988
"49","Latvia","Christmas Island",10199.692924611
"50","Latvia","Cocos Islands",9844.11289347652
"51","Latvia","Colombia",9010.06710804946
"52","Latvia","Comoros",7586.86120790264
"53","Latvia","Cook Islands",15890.0389857101
"54","Latvia","Costa Rica",9875.66739852333
"55","Latvia","Croatia",1109.14408117687
"56","Latvia","Cuba",8452.84656298788
"57","Latvia","Curacao",8876.96377762748
"58","Latvia","Cyprus",2300.30986867069
"59","Latvia","Czech Republic",678.982837446769
"60","Latvia","Democratic Republic of the Congo",5584.97339253522
"61","Latvia","Denmark",386.534798702594
"62","Latvia","Djibouti",4965.99314801534
"63","Latvia","Dominica",8107.43195712817
"64","Latvia","Dominican Republic",8252.94706352916
"65","Latvia","Ecuador",10403.8593760457
"66","Latvia","Egypt",2670.37140273038
"67","Latvia","El Salvador",9832.51246970296
"68","Latvia","Equatorial Guinea",5901.0799284076
"69","Latvia","Eritrea",4296.9532326164
"70","Latvia","Estonia",0
"71","Latvia","Ethiopia",4628.67053746589
"72","Latvia","Falkland Islands",13938.9285327558
"73","Latvia","Faroe Islands",1642.91589310065
"74","Latvia","Fiji",14384.7527919099
"75","Latvia","Finland",221.416067676007
"76","Latvia","France",1176.25061355947
"77","Latvia","French Guiana",8514.48971996073
"78","Latvia","French Polynesia",14367.1592211411
"79","Latvia","French Southern and Antarctic Lands",11542.6143480476
"80","Latvia","Gabon",6008.04728973041
"81","Latvia","Gambia",5588.51408740364
"82","Latvia","Georgia",1628.51553282308
"83","Latvia","Germany",496.56707996883
"84","Latvia","Ghana",5312.64601638131
"85","Latvia","Greece",1548.64366751596
"86","Latvia","Greenland",2474.94101416253
"87","Latvia","Grenada",8430.86581662856
"88","Latvia","Grenadines",8330.36627268782
"89","Latvia","Guadeloupe",8032.60465687138
"90","Latvia","Guam",10276.0933211791
"91","Latvia","Guatemala",9532.74865106919
"92","Latvia","Guernsey",1738.30203050848
"93","Latvia","Guinea",5491.64570029639
"94","Latvia","Guinea-Bissau",5664.89583552457
"95","Latvia","Guyana",8660.27804599529
"96","Latvia","Haiti",8364.19598624504
"97","Latvia","Heard Island",12763.2878211117
"98","Latvia","Honduras",9451.10482524982
"99","Latvia","Hungary",836.712642801888
"100","Latvia","Iceland",2032.12243425228
"101","Latvia","India",4194.92653095135
"102","Latvia","Indonesia",8056.60047302897
"103","Latvia","Iran",2178.42270168134
"104","Latvia","Iraq",2344.39648008029
"105","Latvia","Ireland",1737.97867331355
"106","Latvia","Isle of Man",1614.83180871776
"107","Latvia","Israel",2566.89913319649
"108","Latvia","Italy",1171.76083002112
"109","Latvia","Ivory Coast",5541.06516263219
"110","Latvia","Jamaica",8777.51003060151
"111","Latvia","Japan",7046.08750955359
"112","Latvia","Jersey",1725.44668475414
"113","Latvia","Jordan",2638.22396123919
"114","Latvia","Kazakhstan",1431.65899537723
"115","Latvia","Kenya",5617.67751776482
"116","Latvia","Kiribati",12606.0909199573
"117","Latvia","Kosovo",1424.76042825997
"118","Latvia","Kuwait",3254.42838636272
"119","Latvia","Kyrgyzstan",3389.57425500627
"120","Latvia","Laos",6943.85844125344
"121","Latvia","Lebanon",2439.26239640648
"122","Latvia","Lesotho",9336.45638610708
"123","Latvia","Liberia",5920.80673320468
"124","Latvia","Libya",2550.97955743209
"125","Latvia","Liechtenstein",1258.93228202183
"126","Latvia","Lithuania",0
"127","Latvia","Luxembourg",1194.66831740972
"128","Latvia","Macedonia",1513.02563853298
"129","Latvia","Madagascar",7787.84049986735
"130","Latvia","Madeira Islands",3885.26157821884
